———————————————————————————————武器————————————————————————————,,,,,,,,,,,,,,,,,,
莲花教团,“神经突触”短剑,T2,近战,知识,d6+3 物理,单手,解析: 成功命中可选不掷伤害骰，而向主持人提出一个关于目标战斗能力的问题（它的弱点是什么？它的难度是多少？），并使其陷入【脆弱】。,剑柄连接着数根微光的炼金导管。它能精准地刺入目标的神经节点，读取其战斗信息。,,,,,,,,,,
烬台城法师,“荒原鸟”余烬石,T3,释放【火焰】法术时，你可重投所有伤害骰中的“1”。此外，你可选择标记2点压力以“燃尽”余烬，使该法术伤害骰取最大值，此后余烬石能力失效，直到完成1次长休。,,,,“要么在沉默中熄灭，要么，就爆发出足以焚尽苍穹的光芒。”——蕾娜·烬瞳。,,,,,,,,,,,
四圣寺,共生之心护符,T2,佩戴时，你可以选择一种在你周围环境中最常见的植物或小型生物。你获得一项与该生物/植物相关的、微小但有用的感官能力（例如：在森林中能通过树根感知震动，在沼泽中能像青蛙一样在水下呼吸）。,,,,由龟山寺的生物学家僧侣用多种共生生物的核心培育而成，象征着万物相连。,,,,,,,,,,,
酒与歌游击队,龟甲磨刀石,T2,坚韧磨刃:在一次短休或长休期间，你可以用这块磨刀石打磨你的刀刃类武器。在下一次休息之前，你的这把武器在造成伤害时，可以额外多造成 1d8 点伤害。,,,,游击队员们捡到了一种龟甲状的岩石，他们用来磨刀，怎么磨都不会变小，能让刀刃变得异常坚韧，足以劈开最厚的甲壳。,,,,,,,,,,,
磐石残党,“月光”安魂香,T1,在一次休息期间点燃并消耗。所有闻到的队友可以回想起一段美好的回忆，清除1d4压力。,,,, 磐石残党的学者们从月光虎守护的土地上，采集沾染了其气息的花粉制成。他们相信，这能安抚那些在战斗中备受折磨的士兵灵魂。,,,,,,,,,,,
酒与歌游击队,《太一大陆风土志》,,这两本《太一大陆风土志》看似寻常，实则由同一魔法古树的树芯所制，在概念上本为一体。在任何一本书页上的书写与标记，都会瞬间在另一本上同步显现。,,,,"此二册书原主为铁心城水利局局长迪斯（酒与歌卧底，代号“高山”）与书店老板伊芙（酒与歌情报员，代号“流水”）。二人以书页批注编码传递情报。后迪斯被捕，书籍流出，辗转现身于旧书摊。其上看似平常的风土笔记，唯有知情者能读懂那些冰冷坐标背后，两个灵魂在至暗时刻最后一次无声的对话：

“危速离，勿念。”
“已安，盼君归。”",,,,,,,,,,,
四圣寺,月相胸针,,佩戴这枚别针会释放微弱魔法，让周围的人下意识认为你“属于这里”，从而疏于观察与质疑。效果持续期间，使用者每执行一个掷骰动作，都需标记1点压力。一旦引起他人注意则失效。,,,,上面嵌入了一块数万年前自然形成的树脂，内含一根月光虎的毛发。方舟国的高层晚宴、酒与歌游击队的秘密集结、磐石残党的地下会面——当后人回望太一大陆那些决定命运的场合，翻阅泛黄的魔法影像时，总能在画面的边缘瞥见一两个静默的僧袍身影。他们如同历史的暗线，贯穿于时代的喧嚣之中，却从未引起当时人们的注意。四圣寺的僧人，就这样无声穿行于各大势力的漩涡中心，只为执笔记录史诗，并在动荡中维系大陆那微妙的平衡。,,,,,,,,,,,
莲花教团,月光注射剂,T3,灵魂出窍：注射药剂，使灵魂暂时脱离身体，此时可以穿过一切物理屏障，但不能和物质世界交互。可以进入别人的梦境，对方植入一段记忆。当掷骰出2个恐惧结果时，强制回到肉体，标记1d4压力。,,,,莲花教团的疯狂科学家用月光虎的血液样本无意中得到的神奇试剂,,,,,,,,,,,
莲花教团,知识之网链接器,T3,标记1点压力，针刺入大脑皮层，可以链接莲花教团的知识网络。在查阅资料、解读信息的掷骰【知识】+2。,,,,一个镜腿镶嵌着金边的眼镜，镜框显得毛茸茸的。莲花教团使用月光虎绒毛制造的研究辅助工具。失去了莲花教团的供能网络，他只能通过夜间月光的照射恢复能量,,,,,,,,,,,
方舟国,Ⅰ型口粮仓,T2,每次长休一次，可以花费一点希望点将怪物尸体投入其中，变成可食用的1d4个食物，恢复1点生命值。,,,,这里面的东西可能不好吃，但一定很救命,,,,,,,,,,,
方舟国,共鸣耳机,T3,远距离内，佩戴者与佩戴同样耳机的盟友可以进行无声交流。每长休1次，你可以花费1希望点，让一名盟友的下一次“知识”或“本能”掷骰获得优势,,,,模仿天空龙共享意识网络的尝试，虽然只能传递声音，但在战场上已足够致命。,,,,,,,,,,,
磐石残党,破碎的王旗,T3,每场战斗1次，你可以挥舞旗帜，大声呼喊旧日口号，让一名盟友攻击掷骰获得优势。,,,,虽然只剩下焦黑的半截，但它代表了那个“凡人当自强”的黄金时代。,,,,,,,,,,,
莲花教团,多功能炼金注射器 ,T2,作为动作，你可以对任意目标使用：1. 肾上腺素（下一次掷骰+2）；2. 镇静剂（清除压力，但【束缚】）；3. 强酸。,,,,莲花教团研究员的标准配置，既能救人，也能杀人，还能开门。,,,,,,,,,,,
四圣寺,写意墨水,T2,消耗品：使用墨水画下图画。如果你画的是桥，它就会变成一座临时的竹桥；画的是鸟，它会变成一只侦查用的墨水鸟。,,,,蕴含天空龙的创造之力的墨水，只有内心澄澈之人才能画出实体。,,,,,,,,,,,
酒与歌游击队,千杯不醉酒壶,T2,里面的酒永远喝不完，但这酒没有任何魔法增益，唯一的用途是——真的很好喝。,,,,游击队员最珍贵的宝物，无论何时何地，只有酒和自由不可辜负。,,,,,,,,,,,
酒与歌游击队,解放者斗篷,T2, 这件斗篷由无数不同颜色的布条拼凑而成。在城市或废墟环境中，你的潜行掷骰获得+3,,,,“这不仅是伪装，也是我们的旗帜。每一块布条都来自一个被我们解放的地方。”,,,,,,,,,,,
磐石残党,人民之声号角,T2,意志集结：标记1压力点，吹响号角，在接下来执行一次团体掷骰时（如群体潜行、协作攀爬），获得+2加值。,,,,一个看似普通的铜制号角，但上面铭刻的不是符文，而是无数微小的、不同笔迹、不同文字的签名。方舟建国时，每一位公民都被邀请在此号角的原型上刻下自己的名字或标记，象征着“国家由每一个具体的人构成”。,,,,,,,,,,,
酒与歌游击队,月光命运骰子,T3, 逆转厄运： 每长休一次，当你掷出恐惧失败时，你可以重掷。如果重掷后成功，你要大喊一句“这是魔术！”；如果依然失败，GM获得1d6恐惧点。,,,,一套月白色的骰子，游击队员坚信这玩意儿被月光虎祝福过。,,,,,,,,,,,
四圣寺,棋枰弃子,T3,消耗品：一颗黑色一颗白色的围棋棋子，白色可以恢复1d4点压力，黑色可防止一次伤害,,,,弃子弃子，弃之可逆转生死阴阳。天下之所得，始于一弃字。,,,,,,,,,,,
烬台城法师,火灵之心,T2,一只火焰之灵，和玩家共用闪避和伤害阈值。该灵体拥有2点生命并能造成1d4的伤害，可以与玩家同时发动攻击。在该灵体死亡后可以在长休时选择一个修整行动将其复活，复活后增加1d4伤害（最高为玩家施法属性d4）,,,,一只可以不断重生的火灵，每次重生都会让他变得更强大，在《烬台城法师学徒采购指南》中被誉为“火焰法师最好的伙伴——战斗占据大脑者的首选”,,,,,,,,,,,
烬台城法师,火轮1500,T2,一对可以安装在鞋两侧得轮子，每休息1次，远距离移动无需掷骰,,,,想在下一瞬间就把手里的余烬之握拍在对面脸上吗？火轮1500.你值得拥有,,,,,,,,,,,
酒与歌游击队,便携式吟游诗人,T2,将手中的吟游诗人玩偶拧紧发条，它就可以一路边唱歌边走向指定地点，远距离内所有生物被吸引注意力，玩家潜行掷骰获得优势,,,,跟一位吟游诗人一样有用不是吗？,,,,,,,,,,,
方舟国,方舟军校优秀毕业生勋章,T2,佩戴后在亲方舟国势力交涉中具有优势。每休息1次，主动使用，按动勋章内部的按钮勋章会在短暂延迟后释放强光，对周围敌人造成【盲目】,,,,方舟军校优秀毕业生的标志，除了在方舟国军队中可以收获信任，它同时还是一个简易的防身工具。,,,,,,,,,,,
—————————————————————————————护甲——————————————————————————,,,,,,,,,,,,,,,,,,
方舟国,“稳定”火力平台重甲,T3,火力全开：当你穿着此护甲并保持静止时，你的所有远距离攻击掷骰获得 +3 加值，但你的闪避值 -2。,,12  28,,为方舟国远程火力手设计的制式重甲。展开的液压支架能提供无与伦比的射击稳定性，代价是彻底牺牲机动性。,,,,,,,,,,,
方舟国,青鳞铠甲,T3,力场阻碍：当你穿着此铠甲时，带有恶意接近你的人会受到力场电击。但长时间穿着此铠甲会让人思想趋于守序，行动变得机械化,,11/27,,核心由天空龙鳞的一小块制作而成，当你穿着此铠甲时，身体的周遭会出现微弱的透明能量场。,,,,,,,,,,,
磐石残党,同袍之铠,T3,同袍之御：当敌方朝近距离范围内盟友发起攻击时，你可以花费1希望点，为盟友提供+2临时闪避值。,,11/28.,,打造它不是为了个人的荣耀，而是为了将每一个战士的命运紧密相连，诠释着“我为人人”的建国初心。,,,,,,,,,,,
